Map_ID,Greedy AI,Time-Expanded Min-Cut,Heuristic Weight AI (I:1 M:1 C:1),Heuristic Weight AI (I:2 M:1 C:1),Heuristic Weight AI (I:1 M:2 C:1),Heuristic Weight AI (I:1 M:1 C:2),Look-2 (P:1 I:1 Place wall:Passive),Look-2 (P:1 I:1 Place wall:Active),Look-2 (P:2 I:1 Place wall:Passive),Look-2 (P:2 I:1 Place wall:Active),Look-2 (P:3 I:1 Place wall:Passive),Look-2 (P:3 I:1 Place wall:Active),Look-2 (P:1 I:2 Place wall:Passive),Look-2 (P:1 I:2 Place wall:Active),Look-2 (P:1 I:3 Place wall:Passive),Look-2 (P:1 I:3 Place wall:Active),Look-3 (P:1 I:1 Place wall:Passive),Look-3 (P:1 I:1 Place wall:Active),Look-3 (P:2 I:1 Place wall:Passive),Look-3 (P:2 I:1 Place wall:Active),Look-3 (P:3 I:1 Place wall:Passive),Look-3 (P:3 I:1 Place wall:Active),Look-3 (P:1 I:2 Place wall:Passive),Look-3 (P:1 I:2 Place wall:Active),Look-3 (P:1 I:3 Place wall:Passive),Look-3 (P:1 I:3 Place wall:Active)
Map_0,55,230,16,15,16,24,16,15,16,15,16,15,15,15,15,15,16,15,16,15,16,15,16,15,16,15
Map_1,25,415,21,21,21,21,17,17,17,17,17,17,17,17,17,17,17,17,23,17,23,17,17,17,17,17
Map_2,604,320,117,135,117,137,77,26,77,26,77,26,135,26,135,26,78,26,78,26,78,26,77,26,77,26
Map_3,624,230,17,17,17,18,17,17,17,17,17,17,17,17,17,17,18,17,18,17,18,17,17,17,17,17
Map_4,418,229,30,28,195,57,28,28,28,28,28,28,28,28,28,28,54,28,54,28,54,28,28,28,28,28
Map_5,490,320,156,242,162,304,248,242,248,242,248,242,248,242,248,242,128,119,129,119,129,119,136,135,241,135
Map_6,14,100,18,18,18,18,18,14,18,14,18,14,18,14,18,14,16,14,16,14,16,14,16,14,16,14
Map_7,314,177,33,33,33,70,31,32,31,32,31,32,33,32,32,32,28,32,28,31,28,31,28,32,28,32
Map_8,16,386,16,16,16,16,18,16,18,16,18,16,18,16,18,16,18,16,18,16,18,16,18,16,18,16
Map_9,549,358,384,295,48,321,198,298,198,291,198,291,216,298,216,298,138,48,138,48,138,48,186,120,188,120
Map_10,597,363,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Map_11,641,282,68,68,138,72,68,68,68,68,68,68,68,68,68,68,56,55,56,55,56,55,68,55,68,55
Map_12,12,189,12,12,12,26,12,12,12,12,12,12,12,12,12,12,12,12,15,12,15,12,12,12,12,12
Map_13,12,168,15,12,15,15,12,14,12,14,12,14,12,14,12,14,12,12,12,12,22,12,15,12,12,12
Map_14,199,154,60,60,70,62,111,112,111,112,111,112,111,112,110,112,80,50,80,51,80,51,70,82,70,82
Map_15,19,198,18,18,18,19,17,17,17,17,17,17,17,17,17,17,19,15,19,15,19,15,17,15,17,15
Map_16,164,417,79,46,79,300,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Map_17,12,154,16,16,16,16,15,16,15,16,15,16,15,16,15,16,12,12,12,12,12,12,12,12,12,12
Map_18,15,122,11,11,11,86,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Map_19,472,428,20,29,20,24,24,22,24,22,24,22,24,22,24,22,25,17,17,17,17,17,25,17,24,17
Map_20,456,173,37,37,36,33,23,35,23,35,23,35,23,35,23,35,23,23,23,23,23,23,23,23,23,23
Map_21,190,515,37,37,117,56,48,58,48,58,48,58,52,65,52,65,135,64,154,64,154,64,158,64,154,64
Map_22,93,125,21,21,21,40,21,18,21,18,21,18,18,18,18,18,24,18,24,18,24,18,21,18,21,18
Map_23,547,177,19,19,19,32,20,20,20,20,20,20,20,20,20,20,20,19,20,19,20,19,20,19,20,19
Map_24,91,419,35,35,27,35,33,27,33,27,33,27,21,27,21,27,33,21,33,21,33,21,33,21,33,21
Map_25,345,118,36,36,36,46,36,31,36,31,36,31,36,31,36,31,28,31,28,31,28,31,28,31,28,31
Map_26,598,189,27,27,27,23,19,19,19,19,19,19,19,19,19,19,19,15,15,15,15,15,19,15,19,15
Map_27,581,233,21,21,21,42,21,21,21,21,21,21,21,21,21,21,25,21,25,21,25,21,21,21,21,21
Map_28,25,423,21,21,21,21,21,20,21,20,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Map_29,634,332,38,38,38,38,268,191,268,191,268,191,201,438,438,438,166,38,166,38,166,38,152,38,224,38
Map_30,561,414,362,414,221,255,175,117,175,117,175,117,69,69,69,69,306,61,263,83,263,83,306,61,245,61
Map_31,34,144,31,27,29,61,26,26,26,26,26,26,26,26,26,26,17,18,17,18,17,18,17,18,17,18
Map_32,6,13,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Map_33,27,147,17,17,17,23,17,17,17,17,17,17,17,17,17,17,19,17,19,17,19,17,19,17,17,17
Map_34,59,69,137,83,137,216,31,27,31,27,31,27,31,27,31,27,31,26,31,26,31,26,31,26,31,26
Map_35,46,95,43,37,43,41,38,37,38,37,38,37,37,37,37,37,41,37,33,37,33,37,39,37,33,37
Map_36,432,270,80,76,80,78,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
Map_37,542,330,40,40,54,41,32,38,32,38,32,38,31,38,31,38,32,30,32,30,32,30,32,30,32,30
Map_38,542,187,135,34,34,171,29,29,29,29,29,29,56,56,56,56,33,29,33,28,33,28,29,29,29,29
Map_39,18,162,20,20,20,53,17,18,17,18,17,18,17,18,18,18,17,17,17,17,17,17,17,18,17,18
Map_40,19,289,20,20,20,20,20,18,20,18,20,18,20,18,20,18,20,17,20,17,20,17,20,17,20,17
Map_41,572,165,60,60,60,60,60,217,60,217,60,217,60,217,60,217,104,60,104,60,104,60,60,60,60,60
Map_42,585,293,90,90,90,109,79,60,79,60,79,60,79,86,79,86,70,57,70,57,70,57,70,57,70,57
Map_43,21,510,13,11,13,13,12,11,12,11,12,11,11,11,11,11,14,11,14,11,14,11,13,11,11,11
Map_44,312,419,143,108,244,369,109,112,109,110,109,110,112,353,204,353,75,87,75,87,75,87,75,87,75,87
Map_45,14,308,10,10,12,14,11,10,11,10,11,10,11,10,11,10,13,10,13,10,13,10,11,10,11,10
Map_46,38,178,11,11,11,14,15,11,15,11,15,11,14,11,14,11,11,11,11,11,11,11,11,11,11,11
Map_47,46,38,10,10,10,10,10,11,10,11,10,11,10,11,10,11,10,10,17,10,17,10,10,10,10,10
Map_48,613,153,183,183,545,51,23,19,23,19,23,19,19,19,19,19,20,19,20,19,20,19,20,19,20,19
Map_49,539,86,81,81,81,109,35,35,35,35,35,35,35,35,35,35,38,35,38,35,38,35,35,35,35,35
Map_50,51,199,16,16,16,156,16,16,16,16,16,16,16,16,16,16,23,16,25,16,25,16,16,16,16,16
Map_51,553,162,19,19,19,384,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Map_52,22,112,23,23,23,23,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Map_53,420,271,35,33,33,36,33,33,33,33,33,33,33,33,33,33,33,54,33,54,33,54,33,63,33,63
Map_54,510,144,99,75,101,396,71,70,73,83,73,83,71,70,71,70,50,56,50,56,50,56,50,58,50,58
Map_55,393,88,23,23,23,24,19,19,19,19,19,19,19,19,19,19,18,19,18,19,18,19,18,19,19,19
Map_56,519,526,15,15,15,22,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Map_57,501,203,50,50,50,51,42,42,42,42,42,42,53,84,53,84,47,28,47,28,47,28,47,28,42,28
Map_58,232,566,15,15,15,24,15,15,15,15,15,15,15,15,15,15,19,15,19,15,19,15,19,15,19,15
Map_59,13,74,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,15,13,15,13,13,13,13,13
Map_60,180,219,94,93,96,23,44,23,44,23,44,23,71,23,71,23,36,23,36,23,36,23,36,23,36,23
Map_61,125,235,74,74,74,82,74,74,74,74,74,74,89,89,89,89,39,39,39,39,39,39,39,43,39,43
Map_62,500,537,36,36,36,37,36,36,36,36,36,36,36,36,36,36,32,24,32,24,32,24,24,24,24,24
Map_63,567,135,55,55,80,112,47,47,47,47,47,47,47,47,47,47,49,47,49,47,49,47,51,47,47,47
Map_64,27,71,14,14,14,14,20,14,20,14,20,14,20,14,24,14,20,14,20,14,20,14,20,14,20,14
Map_65,18,66,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Map_66,610,379,18,15,15,18,15,15,15,15,15,15,15,15,15,15,18,15,18,15,18,15,15,15,15,15
Map_67,497,462,56,56,64,46,44,44,44,44,44,44,44,44,44,44,46,55,46,55,46,55,46,44,46,44
Map_68,20,48,23,23,24,27,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Map_69,62,166,244,71,164,433,131,71,133,71,133,71,71,71,71,71,58,48,50,48,50,48,58,63,58,63
Map_70,590,119,244,373,407,32,32,31,32,31,32,31,31,31,31,31,39,31,39,31,39,31,39,29,39,29
Map_71,56,331,16,16,12,31,16,12,16,12,16,12,16,12,16,12,16,12,16,12,16,12,16,12,16,12
Map_72,135,316,18,18,18,90,19,18,19,18,19,18,19,18,19,18,21,18,21,18,21,18,20,18,20,18
Map_73,527,366,28,27,28,34,28,27,28,27,28,27,27,27,27,27,28,27,28,27,28,27,28,27,28,27
Map_74,421,160,111,112,121,116,96,103,96,103,96,103,96,103,96,103,56,110,56,110,56,110,57,110,55,103
Map_75,7,148,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Map_76,544,148,92,77,77,123,44,86,44,86,44,86,49,53,49,53,44,38,50,38,50,38,44,49,44,49
Map_77,16,25,12,12,12,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Map_78,22,317,23,23,24,32,23,22,23,22,23,22,22,22,22,22,23,22,21,22,21,22,23,22,23,22
Map_79,15,241,10,10,10,24,10,10,10,10,10,10,10,10,10,10,13,10,13,10,13,10,13,10,13,10
Map_80,189,77,12,12,12,13,12,9,12,9,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_81,20,31,10,10,10,10,10,7,10,7,10,7,10,7,10,7,7,7,7,7,7,7,7,7,7,7
Map_82,487,261,160,163,160,68,105,94,105,94,105,94,105,94,105,94,117,85,117,85,117,85,85,85,85,85
Map_83,73,70,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,17,15,17,15,17,15,17,15
Map_84,16,277,20,16,20,491,16,16,16,16,16,16,16,16,16,16,11,16,11,16,11,16,11,16,11,16
Map_85,64,61,21,20,20,23,20,20,20,20,20,20,20,20,20,20,20,17,22,18,22,18,20,17,20,17
Map_86,564,110,52,50,96,231,51,50,51,50,51,50,50,50,50,50,40,29,46,29,46,29,39,29,29,29
Map_87,449,347,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Map_88,33,40,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Map_89,182,134,57,565,101,58,71,105,71,105,71,105,72,105,210,105,61,61,96,61,96,61,61,61,71,61
Map_90,11,160,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Map_91,609,126,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,31,33,31,33,31,35,31,35,31
Map_92,19,348,19,19,19,24,19,14,19,14,19,14,19,14,19,14,19,14,19,14,19,14,18,14,18,14
Map_93,618,399,64,59,116,127,47,47,47,47,47,47,47,47,47,47,32,47,32,47,32,47,38,47,38,47
Map_94,516,189,47,47,47,45,40,40,40,40,40,40,40,40,40,40,42,40,42,40,42,40,42,40,40,40
Map_95,46,259,63,71,66,43,45,57,45,57,45,57,45,61,48,61,44,40,44,40,44,40,44,42,45,53
Map_96,117,157,17,17,17,21,17,17,17,17,17,17,17,17,17,17,18,17,18,17,18,17,17,17,17,17
Map_97,547,366,331,374,223,238,109,128,109,129,109,129,109,128,109,128,95,246,95,320,95,281,145,247,230,247
Map_98,34,392,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_99,521,362,32,82,381,53,79,64,79,64,79,64,79,71,79,71,32,32,32,32,32,32,65,49,65,49
Map_100,20,150,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Map_101,316,177,77,77,74,85,74,73,74,73,74,73,74,86,74,86,45,45,45,45,45,45,45,73,45,73
Map_102,25,247,17,17,17,19,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17,19,17
Map_103,10,218,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Map_104,554,166,54,54,54,54,54,50,54,50,54,50,51,50,51,50,49,52,74,52,74,52,51,52,51,52
Map_105,564,519,172,113,185,154,113,113,113,113,113,113,113,113,113,113,149,57,145,57,145,57,148,57,148,57
Map_106,14,199,14,14,14,17,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12
Map_107,12,176,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,13,12,12,12,12,12
Map_108,174,152,18,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Map_109,5,83,5,5,5,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Map_110,99,215,32,32,32,72,32,32,32,32,32,32,32,39,39,39,37,32,37,32,37,32,32,32,32,32
Map_111,60,35,18,18,25,28,18,18,18,18,18,18,18,18,18,18,26,18,26,18,26,18,18,18,18,18
Map_112,31,261,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,20,23,20,20,20,20,20
Map_113,560,168,63,63,63,282,173,57,173,57,173,57,181,57,197,57,34,34,35,34,35,34,34,34,34,34
Map_114,93,135,74,74,77,44,43,43,43,43,43,43,43,43,43,43,44,43,44,43,44,43,43,43,43,43
Map_115,619,544,60,60,61,95,47,47,47,47,47,47,47,47,47,47,44,47,44,47,44,47,44,47,44,47
Map_116,11,145,11,11,11,52,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Map_117,48,132,68,26,84,21,21,22,21,22,21,22,21,22,21,22,23,22,29,22,29,22,23,22,21,22
Map_118,11,320,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Map_119,29,101,22,13,13,22,13,13,13,13,13,13,13,13,13,13,13,13,15,13,15,13,13,13,13,13
Map_120,609,268,16,16,16,21,16,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13
Map_121,25,64,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Map_122,436,374,195,190,301,263,39,39,39,39,39,39,39,39,39,39,60,39,60,39,60,39,39,39,39,39
Map_123,58,256,30,30,30,31,29,27,29,27,29,27,40,27,40,27,30,21,30,21,30,21,29,21,29,21
Map_124,112,382,45,60,76,45,43,50,43,50,43,50,50,50,50,50,30,30,41,30,41,30,30,30,30,30
Map_125,614,392,264,239,500,260,160,179,160,179,160,179,149,149,149,149,78,137,78,94,78,94,78,269,78,269
Map_126,525,286,80,80,90,84,75,75,75,75,75,75,75,75,75,75,72,73,74,72,74,72,76,75,75,75
Map_127,557,365,72,72,72,39,38,38,38,38,38,38,38,38,38,38,39,34,41,39,41,39,39,34,39,35
Map_128,5,126,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Map_129,9,18,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_130,401,167,112,76,111,105,67,66,67,66,67,66,66,66,66,66,101,70,104,70,104,70,61,61,67,66
Map_131,22,49,21,21,23,21,22,22,22,22,22,22,22,22,22,22,22,22,23,22,23,22,22,22,22,22
Map_132,24,316,20,20,20,43,20,20,20,20,20,20,20,20,20,20,23,20,25,20,25,20,20,20,20,20
Map_133,29,81,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13
Map_134,13,187,13,13,13,13,12,13,12,13,12,13,12,13,12,13,12,12,12,12,12,12,12,12,12,12
Map_135,178,319,22,22,22,22,22,21,22,21,22,21,21,21,21,21,22,21,22,21,22,21,22,21,22,21
Map_136,136,165,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,12,13,12,13,12,13,12
Map_137,521,241,46,45,50,402,36,31,36,31,36,31,36,31,36,31,43,31,41,31,41,31,35,31,31,31
Map_138,67,201,79,65,42,80,25,59,25,58,25,58,25,59,25,59,23,24,23,24,23,24,25,24,25,24
Map_139,8,462,16,15,16,21,12,8,12,8,12,8,13,8,13,8,12,8,12,8,12,8,12,8,12,8
Map_140,91,72,26,26,26,26,26,29,26,29,26,29,26,29,26,29,26,26,26,26,26,26,26,26,26,26
Map_141,445,296,40,40,40,63,40,40,40,40,40,40,40,40,40,40,61,39,61,43,61,43,61,40,40,40
Map_142,152,206,56,56,87,95,54,38,54,38,54,38,38,38,38,38,33,33,33,33,33,33,43,33,43,33
Map_143,146,192,27,27,27,29,31,31,31,31,31,31,31,31,31,31,24,31,24,31,24,31,24,31,24,31
Map_144,641,267,32,32,32,32,32,32,32,32,32,32,32,32,32,32,40,32,40,32,40,32,39,32,39,32
Map_145,457,127,14,14,14,14,14,14,14,14,14,14,14,14,14,14,19,14,19,14,19,14,19,14,19,14
Map_146,299,281,121,121,283,105,44,43,44,43,44,43,44,43,43,43,44,43,44,44,44,44,44,43,44,43
Map_147,11,30,11,11,11,19,12,9,12,9,12,9,12,9,12,9,11,9,11,9,11,9,11,9,11,9
Map_148,26,147,14,14,14,14,14,13,14,13,14,13,13,13,13,13,14,13,14,13,14,13,14,13,14,13
Map_149,36,184,23,20,20,47,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Map_150,104,71,56,56,53,62,36,36,36,36,36,36,36,36,36,36,34,34,34,34,34,34,34,40,34,40
Map_151,15,71,15,15,15,15,15,13,15,13,15,13,13,13,13,13,15,13,21,15,21,15,15,13,15,13
Map_152,324,192,63,48,63,109,48,48,48,48,48,48,48,48,48,48,59,42,59,42,59,42,59,42,42,42
Map_153,352,148,73,73,63,75,60,79,60,79,60,79,60,79,60,79,42,42,42,42,42,42,42,42,42,42
Map_154,463,277,20,20,23,26,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Map_155,30,93,28,28,33,25,25,25,25,25,25,25,41,41,41,41,25,28,25,28,25,28,25,28,25,28
Map_156,614,185,40,36,36,30,29,29,29,29,29,29,29,29,29,29,29,22,29,22,29,22,29,22,29,22
Map_157,17,321,24,24,24,24,24,24,24,24,24,24,24,24,24,24,39,24,39,17,39,17,24,24,24,24
Map_158,74,225,221,62,221,83,38,62,38,62,38,62,37,46,37,46,28,27,28,27,28,27,27,27,27,62
Map_159,19,67,24,24,24,39,24,24,24,24,24,24,24,24,24,24,19,19,19,19,19,19,19,19,19,19
Map_160,443,206,42,42,42,111,42,26,42,26,42,26,42,26,42,26,42,26,42,26,42,26,42,26,42,26
Map_161,588,385,72,67,67,73,50,50,50,50,50,50,50,50,50,50,41,41,44,41,44,41,41,50,41,50
Map_162,173,397,35,34,35,37,35,34,35,34,35,34,34,34,34,34,34,34,44,25,44,25,34,34,34,34
Map_163,32,196,23,26,23,23,26,23,26,23,26,23,26,33,26,33,26,18,24,18,24,18,26,18,26,18
Map_164,11,334,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,11,12,11,12,11,12,11
Map_165,494,158,215,20,128,286,33,30,33,30,33,30,30,30,30,30,41,20,41,21,41,21,33,20,33,20
Map_166,584,246,57,57,70,378,47,47,47,47,47,47,59,59,59,59,86,46,89,46,89,46,133,46,46,46
Map_167,569,158,194,225,194,118,54,54,54,54,54,54,67,68,68,68,49,54,49,54,49,54,49,54,49,54
Map_168,8,165,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Map_169,12,48,9,9,9,25,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_170,80,274,183,183,84,187,96,64,96,64,96,64,95,64,95,64,63,40,63,40,63,40,63,63,68,63
Map_171,8,27,12,12,12,12,12,8,12,8,12,8,12,8,12,8,8,8,8,8,8,8,8,8,8,8
Map_172,490,175,31,31,62,32,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Map_173,589,70,39,39,29,71,37,28,37,28,37,28,36,28,36,28,35,28,44,28,44,28,37,28,37,28
Map_174,18,94,17,17,17,17,17,16,17,16,17,16,17,16,16,16,17,16,17,16,17,16,17,16,17,16
Map_175,104,184,201,424,170,241,112,378,80,356,80,356,76,76,76,76,68,54,68,54,68,54,66,54,66,54
Map_176,6,38,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Map_177,75,497,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Map_178,8,453,10,10,8,10,10,8,10,8,10,8,10,8,10,8,19,8,19,8,19,8,10,8,10,8
Map_179,62,200,17,17,17,22,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Map_180,9,50,9,9,9,13,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_181,285,122,35,35,40,123,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Map_182,6,167,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
