Map_ID,Greedy AI,Time-Expanded Min-Cut,Heuristic Weight AI (I:1 M:1 C:1),Heuristic Weight AI (I:2 M:1 C:1),Heuristic Weight AI (I:1 M:2 C:1),Heuristic Weight AI (I:1 M:1 C:2),Look-2 (P:1 I:1 Place wall:Passive),Look-2 (P:1 I:1 Place wall:Active),Look-2 (P:2 I:1 Place wall:Passive),Look-2 (P:2 I:1 Place wall:Active),Look-2 (P:3 I:1 Place wall:Passive),Look-2 (P:3 I:1 Place wall:Active),Look-2 (P:1 I:2 Place wall:Passive),Look-2 (P:1 I:2 Place wall:Active),Look-2 (P:1 I:3 Place wall:Passive),Look-2 (P:1 I:3 Place wall:Active),Look-3 (P:1 I:1 Place wall:Passive),Look-3 (P:1 I:1 Place wall:Active),Look-3 (P:2 I:1 Place wall:Passive),Look-3 (P:2 I:1 Place wall:Active),Look-3 (P:3 I:1 Place wall:Passive),Look-3 (P:3 I:1 Place wall:Active),Look-3 (P:1 I:2 Place wall:Passive),Look-3 (P:1 I:2 Place wall:Active),Look-3 (P:1 I:3 Place wall:Passive),Look-3 (P:1 I:3 Place wall:Active)
Map_183,49,61,14,14,14,14,14,11,14,11,14,11,13,11,13,11,11,11,11,11,11,11,13,11,13,11
Map_184,601,341,285,266,345,463,267,314,267,314,267,314,267,316,269,316,181,216,180,216,180,216,243,216,222,216
Map_185,21,34,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,19,14,19,14,18,14,18,14
Map_186,101,433,22,22,119,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Map_187,214,533,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
Map_188,158,317,36,35,106,36,36,31,36,31,36,31,35,31,35,31,21,26,21,20,21,20,20,31,20,31
Map_189,11,113,12,12,12,12,12,11,12,11,12,11,11,11,11,11,12,11,12,11,12,11,12,11,12,11
Map_190,377,210,64,64,64,111,60,49,60,49,60,49,49,49,49,49,41,35,36,35,36,35,47,49,59,49
Map_191,315,160,40,40,40,31,31,31,31,31,31,31,31,31,31,31,32,31,32,31,32,31,32,31,31,31
Map_192,114,261,54,66,54,47,46,66,46,66,46,66,46,66,46,66,34,34,48,34,48,34,44,46,46,46
Map_193,612,259,82,77,43,122,71,100,71,100,71,100,71,100,71,100,43,43,43,43,43,44,48,43,48,43
Map_194,25,241,16,16,16,16,16,26,16,26,16,26,16,26,16,26,16,16,16,16,16,16,16,23,16,23
Map_195,16,80,15,14,15,15,14,14,14,14,14,14,14,14,14,14,13,12,13,12,13,12,12,12,12,12
Map_196,397,431,63,64,64,69,57,58,57,58,57,58,57,57,57,57,58,57,59,54,54,54,58,57,58,57
Map_197,18,94,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Map_198,25,102,18,17,18,18,15,15,15,15,15,15,15,15,15,15,20,15,20,15,20,15,15,15,15,15
Map_199,618,303,293,160,345,106,145,35,145,35,145,35,159,35,159,35,48,121,48,121,48,86,87,121,94,121
Map_200,426,166,38,38,38,47,38,21,38,21,38,21,38,21,38,21,45,21,45,21,45,21,45,21,45,21
Map_201,8,276,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Map_202,557,447,112,152,153,187,112,44,112,44,112,44,118,44,118,44,48,44,48,44,48,44,44,44,44,44
Map_203,16,166,15,15,15,22,16,13,16,13,16,13,16,13,16,13,18,13,14,13,14,13,18,13,18,13
Map_204,395,227,130,125,36,150,85,36,85,36,85,36,102,36,102,36,34,34,34,34,34,34,34,34,34,34
Map_205,15,46,12,11,12,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Map_206,17,307,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,12,10,12,10,10,10,10,10
Map_207,6,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Map_208,9,27,7,7,7,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Map_209,15,96,15,15,15,15,15,15,15,15,15,15,14,15,14,15,16,12,16,12,16,12,16,12,16,12
Map_210,481,254,22,22,27,31,22,22,22,22,22,22,22,22,22,22,22,22,28,24,28,24,22,22,22,22
Map_211,572,398,28,28,28,35,33,32,34,32,34,32,28,32,28,32,34,25,34,25,34,25,33,25,33,25
Map_212,46,151,17,18,18,20,17,16,17,16,17,16,16,16,16,16,18,16,18,16,18,16,18,16,16,16
Map_213,207,137,43,48,48,43,40,48,40,47,40,47,48,48,48,48,44,40,39,40,39,40,40,40,40,40
Map_214,23,102,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Map_215,430,180,54,54,54,54,54,96,54,96,54,96,54,96,54,96,41,49,41,38,41,38,54,84,54,84
Map_216,421,326,28,18,18,14,22,18,22,18,22,18,22,18,22,18,17,18,17,14,17,14,17,18,17,18
Map_217,444,274,66,102,66,114,72,57,59,57,59,57,72,126,72,126,49,57,49,57,49,57,43,57,43,57
Map_218,628,476,66,51,66,84,51,55,51,55,51,55,51,51,51,51,51,35,51,35,51,35,51,35,51,35
Map_219,14,300,25,23,25,42,14,14,14,14,14,14,14,14,14,14,16,14,16,14,16,14,16,14,16,14
Map_220,16,39,19,19,19,19,19,19,19,19,19,19,19,19,19,19,14,16,14,16,14,18,19,14,19,14
Map_221,558,102,23,23,23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Map_222,18,253,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_223,276,242,220,154,221,525,33,34,33,34,33,34,33,34,33,34,33,31,35,31,35,31,33,31,33,31
Map_224,35,147,18,18,65,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
