,Greedy AI,Time-Expanded Min-Cut,Heuristic Weight AI (I:1 M:1 C:1),Heuristic Weight AI (I:2 M:1 C:1),Heuristic Weight AI (I:1 M:2 C:1),Heuristic Weight AI (I:1 M:1 C:2),Look-2 (P:1 I:1 Place wall:Passive),Look-2 (P:1 I:1 Place wall:Active),Look-2 (P:2 I:1 Place wall:Passive),Look-2 (P:2 I:1 Place wall:Active),Look-2 (P:3 I:1 Place wall:Passive),Look-2 (P:3 I:1 Place wall:Active),Look-2 (P:1 I:2 Place wall:Passive),Look-2 (P:1 I:2 Place wall:Active),Look-2 (P:1 I:3 Place wall:Passive),Look-2 (P:1 I:3 Place wall:Active),Look-3 (P:1 I:1 Place wall:Passive),Look-3 (P:1 I:1 Place wall:Active),Look-3 (P:2 I:1 Place wall:Passive),Look-3 (P:2 I:1 Place wall:Active),Look-3 (P:3 I:1 Place wall:Passive),Look-3 (P:3 I:1 Place wall:Active),Look-3 (P:1 I:2 Place wall:Passive),Look-3 (P:1 I:2 Place wall:Active),Look-3 (P:1 I:3 Place wall:Passive),Look-3 (P:1 I:3 Place wall:Active),0
avg,248.6491,230.0141,59.8609,57.5503,69.7289,71.293,40.1781,40.0374,40.1511,39.8489,40.1511,39.8501,41.4589,42.0489,42.4837,42.6062,33.6588,29.7283,34.1447,29.0624,34.2589,28.964,33.6564,31.1634,34.1378,31.9878,
sd,236.7827856,138.0223203,91.23143072,89.72334183,109.8071173,101.7956539,51.77788312,54.57230434,51.71280952,53.86612172,51.71280952,53.8657612,56.41207061,59.89355148,59.01458408,61.07422633,34.58810753,30.24643581,34.71623197,28.71331235,34.50818266,28.40296999,36.12161872,34.1779505,38.11838154,36.71703489,
max,666,678,625,630,646,630,550,582,568,582,568,582,598,597,598,597,490,523,510,545,507,436,487,612,489,612,
