Map_ID,Greedy AI,Time-Expanded Min-Cut,Heuristic Weight AI (I:1 M:1 C:1),Heuristic Weight AI (I:2 M:1 C:1),Heuristic Weight AI (I:1 M:2 C:1),Heuristic Weight AI (I:1 M:1 C:2),Look-2 (P:1 I:1 Place wall:Passive),Look-2 (P:1 I:1 Place wall:Active),Look-2 (P:2 I:1 Place wall:Passive),Look-2 (P:2 I:1 Place wall:Active),Look-2 (P:3 I:1 Place wall:Passive),Look-2 (P:3 I:1 Place wall:Active),Look-2 (P:1 I:2 Place wall:Passive),Look-2 (P:1 I:2 Place wall:Active),Look-2 (P:1 I:3 Place wall:Passive),Look-2 (P:1 I:3 Place wall:Active),Look-3 (P:1 I:1 Place wall:Passive),Look-3 (P:1 I:1 Place wall:Active),Look-3 (P:2 I:1 Place wall:Passive),Look-3 (P:2 I:1 Place wall:Active),Look-3 (P:3 I:1 Place wall:Passive),Look-3 (P:3 I:1 Place wall:Active),Look-3 (P:1 I:2 Place wall:Passive),Look-3 (P:1 I:2 Place wall:Active),Look-3 (P:1 I:3 Place wall:Passive),Look-3 (P:1 I:3 Place wall:Active)
Map_7317,17,44,18,18,18,22,18,17,18,17,18,17,17,17,17,17,18,14,18,14,18,14,16,14,16,14
Map_7318,7,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Map_7319,23,38,14,14,14,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Map_7320,32,143,11,11,11,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Map_7321,8,27,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Map_7322,37,39,18,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,27,18,28,18,18,18,18,18
Map_7323,29,115,29,28,32,29,22,26,22,26,22,26,22,27,22,27,22,22,21,22,21,22,22,22,22,22
Map_7324,8,33,9,8,9,13,9,8,9,8,9,8,8,8,8,8,9,8,9,8,9,8,9,8,9,8
Map_7325,14,26,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Map_7326,30,59,18,18,20,20,18,18,18,18,18,18,18,18,18,18,21,18,21,18,21,18,21,18,21,18
Map_7327,17,42,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_7328,11,27,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_7329,62,50,20,20,20,37,20,20,20,20,20,20,20,20,20,20,28,20,33,20,33,20,20,20,20,20
Map_7330,12,26,11,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Map_7331,12,108,13,13,13,18,13,13,13,13,13,13,13,13,13,13,13,12,13,12,13,12,13,12,13,12
Map_7332,13,39,20,20,20,22,20,13,20,13,20,13,20,13,20,13,13,13,13,13,13,13,13,13,13,13
Map_7333,54,67,18,18,16,18,18,13,18,13,18,13,18,13,18,13,16,13,16,13,16,13,16,13,16,13
Map_7334,9,18,10,9,9,10,9,9,9,9,9,9,9,9,9,9,10,9,10,9,10,9,9,9,9,9
Map_7335,18,87,15,13,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Map_7336,31,84,26,26,25,33,25,21,25,21,25,21,21,21,21,21,26,16,26,16,30,16,22,16,22,16
Map_7337,6,10,7,7,7,7,7,6,7,6,7,6,6,6,6,6,7,6,7,6,7,6,7,6,7,6
Map_7338,12,51,13,12,13,19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Map_7339,12,28,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Map_7340,18,97,26,25,26,31,28,22,28,22,28,22,25,19,25,19,18,22,18,22,18,23,18,22,18,22
Map_7341,32,72,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Map_7342,9,34,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_7343,17,41,18,18,18,18,18,28,18,28,18,28,18,28,18,28,18,23,18,18,18,18,18,23,18,23
Map_7344,6,32,6,6,6,11,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Map_7345,10,172,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Map_7346,15,73,8,8,8,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Map_7347,67,314,27,27,27,27,27,27,27,27,27,27,27,27,27,27,31,19,31,19,31,19,29,19,29,19
Map_7348,7,69,6,6,6,9,6,5,6,5,6,5,6,5,5,5,6,5,6,5,6,5,6,5,6,5
Map_7349,10,33,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Map_7350,33,82,37,33,37,44,24,22,24,22,24,22,23,29,23,29,24,23,24,23,24,23,24,23,24,23
Map_7351,325,230,136,142,275,159,97,94,98,94,98,94,97,94,97,94,84,110,84,110,84,110,88,118,88,118
Map_7352,11,71,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_7353,131,112,42,42,53,43,35,22,35,22,35,22,35,22,35,22,32,22,32,22,32,22,32,22,32,22
Map_7354,22,119,17,16,17,17,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14
Map_7355,207,312,64,64,44,83,64,64,64,64,64,64,64,64,80,80,63,33,38,33,38,33,67,33,76,33
Map_7356,12,37,13,12,13,13,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_7357,50,305,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Map_7358,14,136,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,14,13
